"time","value"
2026-02-05 12:04:55,25.86 Hz
2026-02-05 12:05:06,20.91 Hz
2026-02-05 12:05:17,25.08 Hz
2026-02-05 12:05:28,26.53 Hz
2026-02-05 12:05:39,21.82 Hz
2026-02-05 12:05:50,32.17 Hz
2026-02-05 12:06:01,39.68 Hz
2026-02-05 12:06:12,43.47 Hz
2026-02-05 12:06:24,44.77 Hz
2026-02-05 12:06:35,46.97 Hz
2026-02-05 12:06:46,44.88 Hz
2026-02-05 12:06:58,42.20 Hz
2026-02-05 12:07:09,42.18 Hz
2026-02-05 12:07:20,50.78 Hz
2026-02-05 12:07:31,50.08 Hz
2026-02-05 12:07:42,47.03 Hz
2026-02-05 12:07:53,50.60 Hz
2026-02-05 12:08:04,52.42 Hz
2026-02-05 12:08:15,47.65 Hz
2026-02-05 12:08:26,47.01 Hz
2026-02-05 12:08:37,48.26 Hz
2026-02-05 12:08:49,55.85 Hz
2026-02-05 12:09:00,45.62 Hz
2026-02-05 12:09:12,45.52 Hz
2026-02-05 12:09:23,50.15 Hz
2026-02-05 12:09:34,47.92 Hz
2026-02-05 12:09:45,47.71 Hz
2026-02-05 12:09:56,34.86 Hz
2026-02-05 12:10:07,41.42 Hz
2026-02-05 12:10:19,34.32 Hz
2026-02-05 12:10:31,40.71 Hz
2026-02-05 12:10:42,43.43 Hz
2026-02-05 12:10:54,51.50 Hz
2026-02-05 12:11:06,45.29 Hz
2026-02-05 12:11:17,51.38 Hz
2026-02-05 12:11:28,47.37 Hz
2026-02-05 12:11:39,45.38 Hz
2026-02-05 12:11:50,48.71 Hz
2026-02-05 12:12:01,47.76 Hz
2026-02-05 12:12:13,34.87 Hz
2026-02-05 12:12:25,49.90 Hz
2026-02-05 12:12:36,45.63 Hz
2026-02-05 12:12:47,46.88 Hz
2026-02-05 12:12:58,43.20 Hz
2026-02-05 12:13:10,45.76 Hz
2026-02-05 12:13:21,36.68 Hz
2026-02-05 12:13:33,30.44 Hz
2026-02-05 12:13:44,31.57 Hz
2026-02-05 12:13:55,47.97 Hz
2026-02-05 12:14:06,54.82 Hz
2026-02-05 12:14:17,41.19 Hz
2026-02-05 12:14:28,43.48 Hz
2026-02-05 12:14:39,38.71 Hz
2026-02-05 12:14:50,48.64 Hz
2026-02-05 12:15:01,46.99 Hz
2026-02-05 12:15:13,42.10 Hz
2026-02-05 12:15:24,42.91 Hz
2026-02-05 12:15:35,33.29 Hz
2026-02-05 12:15:46,42.05 Hz
2026-02-05 12:15:57,37.45 Hz
2026-02-05 12:16:08,51.98 Hz
2026-02-05 12:16:19,44.53 Hz
2026-02-05 12:16:30,39.43 Hz
2026-02-05 12:16:41,44.09 Hz
2026-02-05 12:16:52,46.58 Hz
2026-02-05 12:17:03,42.92 Hz
2026-02-05 12:17:14,47.68 Hz
2026-02-05 12:17:25,56.17 Hz
2026-02-05 12:17:36,31.05 Hz
2026-02-05 12:17:47,186.28 Hz
2026-02-05 12:17:58,315.50 Hz
2026-02-05 12:18:10,310.87 Hz
2026-02-05 12:18:21,318.11 Hz
2026-02-05 12:18:33,313.26 Hz
2026-02-05 12:18:44,320.35 Hz
2026-02-05 12:18:55,310.47 Hz
2026-02-05 12:19:06,334.92 Hz
2026-02-05 12:19:17,311.41 Hz
2026-02-05 12:19:29,332.39 Hz
2026-02-05 12:19:40,327.88 Hz
2026-02-05 12:19:51,329.21 Hz
2026-02-05 12:20:02,304.18 Hz
2026-02-05 12:20:14,246.49 Hz
2026-02-05 12:20:25,246.94 Hz
2026-02-05 12:20:36,237.86 Hz
2026-02-05 12:20:48,254.02 Hz
2026-02-05 12:20:59,243.13 Hz
2026-02-05 12:21:10,258.30 Hz
2026-02-05 12:21:22,245.25 Hz
2026-02-05 12:21:33,240.40 Hz
2026-02-05 12:21:44,240.64 Hz
2026-02-05 12:21:56,271.30 Hz
2026-02-05 12:22:07,244.20 Hz
2026-02-05 12:22:18,253.53 Hz
2026-02-05 12:22:29,280.49 Hz
2026-02-05 12:22:40,263.13 Hz
2026-02-05 12:22:52,248.30 Hz
2026-02-05 12:23:03,265.11 Hz
2026-02-05 12:23:14,247.59 Hz
2026-02-05 12:23:25,241.87 Hz
2026-02-05 12:23:37,255.92 Hz
2026-02-05 12:23:48,249.37 Hz
2026-02-05 12:23:59,272.06 Hz
2026-02-05 12:24:10,261.05 Hz
2026-02-05 12:24:22,246.74 Hz
2026-02-05 12:24:33,251.73 Hz
2026-02-05 12:24:44,260.44 Hz
2026-02-05 12:24:55,250.73 Hz
2026-02-05 12:25:06,260.80 Hz
2026-02-05 12:25:17,259.73 Hz
2026-02-05 12:25:28,258.23 Hz
2026-02-05 12:25:40,264.08 Hz
2026-02-05 12:25:51,271.33 Hz
2026-02-05 12:26:03,256.94 Hz
2026-02-05 12:26:14,260.10 Hz
2026-02-05 12:26:25,278.66 Hz
2026-02-05 12:26:36,261.45 Hz
2026-02-05 12:26:47,261.97 Hz
2026-02-05 12:26:58,99.51 Hz
2026-02-05 12:27:09,33.92 Hz
2026-02-05 12:27:20,36.46 Hz
2026-02-05 12:27:31,31.84 Hz
2026-02-05 12:27:42,38.91 Hz
2026-02-05 12:27:53,45.30 Hz
2026-02-05 12:28:04,38.01 Hz
2026-02-05 12:28:15,41.99 Hz
2026-02-05 12:28:26,36.52 Hz
2026-02-05 12:28:37,37.83 Hz
2026-02-05 12:28:48,44.34 Hz
2026-02-05 12:29:00,38.21 Hz
2026-02-05 12:29:11,39.82 Hz
2026-02-05 12:29:22,44.33 Hz
2026-02-05 12:29:33,48.22 Hz
2026-02-05 12:29:45,46.19 Hz
2026-02-05 12:29:56,32.43 Hz
2026-02-05 12:30:08,31.27 Hz
2026-02-05 12:30:19,46.59 Hz
2026-02-05 12:30:31,30.16 Hz
2026-02-05 12:30:42,37.86 Hz
2026-02-05 12:30:53,30.99 Hz
2026-02-05 12:31:05,31.91 Hz
2026-02-05 12:31:16,40.54 Hz
2026-02-05 12:31:27,34.93 Hz
2026-02-05 12:31:39,31.18 Hz
2026-02-05 12:31:50,31.36 Hz
2026-02-05 12:32:01,35.60 Hz
2026-02-05 12:32:13,24.39 Hz
2026-02-05 12:32:24,43.07 Hz
2026-02-05 12:32:37,20.99 Hz
2026-02-05 12:32:48,184.50 Hz
2026-02-05 12:32:59,238.73 Hz
2026-02-05 12:33:11,268.04 Hz
2026-02-05 12:33:23,273.02 Hz
2026-02-05 12:33:34,247.67 Hz
2026-02-05 12:33:46,246.16 Hz
2026-02-05 12:33:58,250.32 Hz
2026-02-05 12:34:09,260.64 Hz
2026-02-05 12:34:21,257.30 Hz
2026-02-05 12:34:33,257.52 Hz
2026-02-05 12:34:44,244.57 Hz
2026-02-05 12:34:55,256.85 Hz
2026-02-05 12:35:06,238.99 Hz
2026-02-05 12:35:18,256.23 Hz
2026-02-05 12:35:30,235.70 Hz
2026-02-05 12:35:42,236.76 Hz
2026-02-05 12:35:53,246.75 Hz
2026-02-05 12:36:04,239.22 Hz
2026-02-05 12:36:15,250.83 Hz
2026-02-05 12:36:26,259.48 Hz
2026-02-05 12:36:37,259.31 Hz
2026-02-05 12:36:48,254.49 Hz
2026-02-05 12:36:59,251.88 Hz
2026-02-05 12:37:10,254.79 Hz
2026-02-05 12:37:21,259.83 Hz
2026-02-05 12:37:32,243.50 Hz
2026-02-05 12:37:44,267.89 Hz
2026-02-05 12:37:55,253.05 Hz
2026-02-05 12:38:06,267.47 Hz
2026-02-05 12:38:18,246.54 Hz
2026-02-05 12:38:29,258.67 Hz
2026-02-05 12:38:41,114.73 Hz
2026-02-05 12:38:53,39.09 Hz
2026-02-05 12:39:04,53.00 Hz
2026-02-05 12:39:15,47.96 Hz
2026-02-05 12:39:26,41.32 Hz
2026-02-05 12:39:37,35.74 Hz
2026-02-05 12:39:48,51.80 Hz
2026-02-05 12:40:00,36.16 Hz
2026-02-05 12:40:12,44.40 Hz
2026-02-05 12:40:23,38.47 Hz
2026-02-05 12:40:35,56.30 Hz
2026-02-05 12:40:47,39.42 Hz
2026-02-05 12:40:59,45.83 Hz
2026-02-05 12:41:10,38.22 Hz
2026-02-05 12:41:21,40.21 Hz
2026-02-05 12:41:32,50.17 Hz
2026-02-05 12:41:43,34.51 Hz
2026-02-05 12:41:55,39.91 Hz
2026-02-05 12:42:07,37.13 Hz
2026-02-05 12:42:18,40.90 Hz
2026-02-05 12:42:30,38.35 Hz
2026-02-05 12:42:41,40.50 Hz
2026-02-05 12:42:52,37.63 Hz
2026-02-05 12:43:04,38.20 Hz
2026-02-05 12:43:15,50.83 Hz
2026-02-05 12:43:26,40.16 Hz
2026-02-05 12:43:37,35.55 Hz
2026-02-05 12:43:49,38.62 Hz
2026-02-05 12:44:00,45.41 Hz
2026-02-05 12:44:13,16.62 Hz
2026-02-05 12:44:25,256.11 Hz
2026-02-05 12:44:37,262.59 Hz
2026-02-05 12:44:49,268.21 Hz
2026-02-05 12:45:00,251.37 Hz
2026-02-05 12:45:12,262.36 Hz
2026-02-05 12:45:23,265.14 Hz
2026-02-05 12:45:34,240.14 Hz
2026-02-05 12:45:46,249.74 Hz
2026-02-05 12:45:58,246.22 Hz
2026-02-05 12:46:10,267.16 Hz
2026-02-05 12:46:22,261.46 Hz
2026-02-05 12:46:33,251.65 Hz
2026-02-05 12:46:44,256.02 Hz
2026-02-05 12:46:55,261.73 Hz
2026-02-05 12:47:07,275.49 Hz
2026-02-05 12:47:18,279.20 Hz
2026-02-05 12:47:30,270.56 Hz
2026-02-05 12:47:41,258.84 Hz
2026-02-05 12:47:52,245.05 Hz
2026-02-05 12:48:03,262.04 Hz
2026-02-05 12:48:15,268.16 Hz
2026-02-05 12:48:26,270.21 Hz
2026-02-05 12:48:37,262.33 Hz
2026-02-05 12:48:48,249.16 Hz
2026-02-05 12:49:00,261.95 Hz
2026-02-05 12:49:11,261.18 Hz
2026-02-05 12:49:22,267.64 Hz
2026-02-05 12:49:33,268.69 Hz
2026-02-05 12:49:44,28.95 Hz
2026-02-05 12:49:56,30.57 Hz
2026-02-05 12:50:08,40.68 Hz
2026-02-05 12:50:19,43.00 Hz
2026-02-05 12:50:31,32.84 Hz
2026-02-05 12:50:43,36.65 Hz
2026-02-05 12:50:55,40.65 Hz
2026-02-05 12:51:06,39.72 Hz
2026-02-05 12:51:17,37.87 Hz
2026-02-05 12:51:28,36.23 Hz
2026-02-05 12:51:39,36.79 Hz
2026-02-05 12:51:50,47.58 Hz
2026-02-05 12:52:02,41.13 Hz
2026-02-05 12:52:13,34.50 Hz
2026-02-05 12:52:24,40.09 Hz
2026-02-05 12:52:36,42.12 Hz
2026-02-05 12:52:47,43.19 Hz
2026-02-05 12:52:59,44.36 Hz
2026-02-05 12:53:11,31.10 Hz
2026-02-05 12:53:23,42.11 Hz
2026-02-05 12:53:34,37.37 Hz
2026-02-05 12:53:45,42.54 Hz
2026-02-05 12:53:56,37.64 Hz
2026-02-05 12:54:07,34.69 Hz
2026-02-05 12:54:18,39.79 Hz
2026-02-05 12:54:30,37.97 Hz
2026-02-05 12:54:42,37.66 Hz
2026-02-05 12:54:53,39.11 Hz
2026-02-05 12:55:04,35.37 Hz
2026-02-05 12:55:19,38.72 Hz
2026-02-05 12:55:30,239.55 Hz
2026-02-05 12:55:42,259.84 Hz
2026-02-05 12:55:54,250.70 Hz
2026-02-05 12:56:05,285.80 Hz
2026-02-05 12:56:16,275.45 Hz
2026-02-05 12:56:27,271.40 Hz
2026-02-05 12:56:38,272.69 Hz
2026-02-05 12:56:49,275.08 Hz
2026-02-05 12:57:00,286.98 Hz
2026-02-05 12:57:11,272.06 Hz
2026-02-05 12:57:22,281.63 Hz
2026-02-05 12:57:33,291.81 Hz
2026-02-05 12:57:44,266.39 Hz
2026-02-05 12:57:56,266.21 Hz
2026-02-05 12:58:07,265.32 Hz
2026-02-05 12:58:18,271.95 Hz
2026-02-05 12:58:30,263.61 Hz
2026-02-05 12:58:41,268.29 Hz
2026-02-05 12:58:52,257.99 Hz
2026-02-05 12:59:03,283.64 Hz
2026-02-05 12:59:14,270.25 Hz
2026-02-05 12:59:25,279.68 Hz
2026-02-05 12:59:36,261.60 Hz
2026-02-05 12:59:47,280.00 Hz
2026-02-05 12:59:58,276.74 Hz
2026-02-05 13:00:09,270.06 Hz
2026-02-05 13:00:20,281.87 Hz
2026-02-05 13:00:31,282.38 Hz
2026-02-05 13:00:42,272.61 Hz
2026-02-05 13:00:53,237.56 Hz
2026-02-05 13:01:04,15.36 Hz
2026-02-05 13:01:15,37.23 Hz
2026-02-05 13:01:26,42.30 Hz
2026-02-05 13:01:37,31.80 Hz
2026-02-05 13:01:48,41.71 Hz
2026-02-05 13:02:00,34.17 Hz
2026-02-05 13:02:11,41.96 Hz
2026-02-05 13:02:22,38.52 Hz
2026-02-05 13:02:33,38.58 Hz
2026-02-05 13:02:44,38.46 Hz
2026-02-05 13:02:55,46.43 Hz
2026-02-05 13:03:06,35.56 Hz
2026-02-05 13:03:17,36.24 Hz
2026-02-05 13:03:28,49.24 Hz
2026-02-05 13:03:39,42.81 Hz
2026-02-05 13:03:51,44.58 Hz
2026-02-05 13:04:02,33.55 Hz
2026-02-05 13:04:13,40.99 Hz
2026-02-05 13:04:24,35.63 Hz
2026-02-05 13:04:36,45.28 Hz
2026-02-05 13:04:47,38.40 Hz
2026-02-05 13:04:59,44.35 Hz
2026-02-05 13:05:10,40.46 Hz
2026-02-05 13:05:21,43.99 Hz
2026-02-05 13:05:33,46.26 Hz
2026-02-05 13:05:44,36.92 Hz
2026-02-05 13:05:56,36.80 Hz
2026-02-05 13:06:07,38.49 Hz
2026-02-05 13:06:19,44.49 Hz
2026-02-05 13:06:31,37.72 Hz
2026-02-05 13:06:42,42.18 Hz
2026-02-05 13:06:53,136.04 Hz
2026-02-05 13:07:04,278.59 Hz
2026-02-05 13:07:15,279.08 Hz
2026-02-05 13:07:27,266.47 Hz
2026-02-05 13:07:38,265.53 Hz
2026-02-05 13:07:49,310.21 Hz
2026-02-05 13:08:00,286.13 Hz
2026-02-05 13:08:11,280.11 Hz
2026-02-05 13:08:22,279.72 Hz
2026-02-05 13:08:33,263.07 Hz
2026-02-05 13:08:44,273.65 Hz
2026-02-05 13:08:55,265.74 Hz
2026-02-05 13:09:06,260.75 Hz
2026-02-05 13:09:18,236.11 Hz
2026-02-05 13:09:29,248.01 Hz
2026-02-05 13:09:40,244.72 Hz
2026-02-05 13:09:52,244.53 Hz
2026-02-05 13:10:03,263.33 Hz
2026-02-05 13:10:15,247.09 Hz
2026-02-05 13:10:26,253.66 Hz
2026-02-05 13:10:38,252.37 Hz
2026-02-05 13:10:49,252.11 Hz
2026-02-05 13:11:00,238.90 Hz
2026-02-05 13:11:12,239.65 Hz
2026-02-05 13:11:23,248.75 Hz
2026-02-05 13:11:35,262.28 Hz
2026-02-05 13:11:46,240.20 Hz
2026-02-05 13:11:57,251.82 Hz
2026-02-05 13:12:09,253.53 Hz
2026-02-05 13:12:22,219.10 Hz
2026-02-05 13:12:33,2.64 Hz
2026-02-05 13:12:44,63.18 Hz
2026-02-05 13:12:55,61.61 Hz
2026-02-05 13:13:07,56.22 Hz
2026-02-05 13:13:18,61.97 Hz
2026-02-05 13:13:30,63.01 Hz
2026-02-05 13:13:41,58.59 Hz
2026-02-05 13:13:52,73.62 Hz
2026-02-05 13:14:04,49.91 Hz
2026-02-05 13:14:15,57.06 Hz
2026-02-05 13:14:26,55.18 Hz
2026-02-05 13:14:37,58.86 Hz
2026-02-05 13:14:49,70.35 Hz
2026-02-05 13:15:01,60.43 Hz
2026-02-05 13:15:12,71.76 Hz
2026-02-05 13:15:23,65.57 Hz
2026-02-05 13:15:34,57.17 Hz
2026-02-05 13:15:45,68.87 Hz
2026-02-05 13:15:57,49.58 Hz
2026-02-05 13:16:08,62.54 Hz
2026-02-05 13:16:20,71.95 Hz
2026-02-05 13:16:31,63.75 Hz
2026-02-05 13:16:42,76.23 Hz
2026-02-05 13:16:53,60.59 Hz
2026-02-05 13:17:05,62.76 Hz
2026-02-05 13:17:16,61.17 Hz
2026-02-05 13:17:27,56.24 Hz
2026-02-05 13:17:39,54.15 Hz
2026-02-05 13:17:50,58.10 Hz
2026-02-05 13:18:02,55.35 Hz
2026-02-05 13:18:13,60.08 Hz
2026-02-05 13:18:25,49.93 Hz
2026-02-05 13:18:36,58.64 Hz
2026-02-05 13:18:47,51.60 Hz
2026-02-05 13:18:59,267.97 Hz
2026-02-05 13:19:10,263.62 Hz
2026-02-05 13:19:21,257.35 Hz
2026-02-05 13:19:32,245.86 Hz
2026-02-05 13:19:43,252.83 Hz
2026-02-05 13:19:54,250.97 Hz
2026-02-05 13:20:05,257.81 Hz
2026-02-05 13:20:17,251.92 Hz
2026-02-05 13:20:28,249.20 Hz
2026-02-05 13:20:40,252.87 Hz
2026-02-05 13:20:51,262.25 Hz
2026-02-05 13:21:03,252.65 Hz
2026-02-05 13:21:14,265.22 Hz
2026-02-05 13:21:25,253.34 Hz
2026-02-05 13:21:36,260.14 Hz
2026-02-05 13:21:47,256.53 Hz
2026-02-05 13:21:58,278.98 Hz
2026-02-05 13:22:09,261.53 Hz
2026-02-05 13:22:20,259.32 Hz
2026-02-05 13:22:31,266.02 Hz
2026-02-05 13:22:42,275.97 Hz
2026-02-05 13:22:54,254.09 Hz
2026-02-05 13:23:05,244.97 Hz
2026-02-05 13:23:16,276.22 Hz
2026-02-05 13:23:27,264.28 Hz
2026-02-05 13:23:38,268.42 Hz
2026-02-05 13:23:49,260.03 Hz
2026-02-05 13:24:00,267.99 Hz
2026-02-05 13:24:11,28.04 Hz
2026-02-05 13:24:22,36.50 Hz
2026-02-05 13:24:33,43.36 Hz
2026-02-05 13:24:44,43.60 Hz
2026-02-05 13:24:56,48.77 Hz
2026-02-05 13:25:07,44.03 Hz
2026-02-05 13:25:18,42.46 Hz
2026-02-05 13:25:30,37.14 Hz
2026-02-05 13:25:41,34.35 Hz
2026-02-05 13:25:52,40.63 Hz
2026-02-05 13:26:03,36.53 Hz
2026-02-05 13:26:15,49.58 Hz
2026-02-05 13:26:26,43.26 Hz
2026-02-05 13:26:37,45.24 Hz
2026-02-05 13:26:48,45.19 Hz
2026-02-05 13:26:59,41.07 Hz
2026-02-05 13:27:10,40.76 Hz
2026-02-05 13:27:22,46.54 Hz
2026-02-05 13:27:33,42.04 Hz
2026-02-05 13:27:44,34.72 Hz
2026-02-05 13:27:55,52.28 Hz
2026-02-05 13:28:06,38.95 Hz
2026-02-05 13:28:17,42.44 Hz
2026-02-05 13:28:28,36.97 Hz
2026-02-05 13:28:39,40.02 Hz
2026-02-05 13:28:51,45.48 Hz
2026-02-05 13:29:02,43.80 Hz
2026-02-05 13:29:13,48.62 Hz
2026-02-05 13:29:24,45.00 Hz
2026-02-05 13:29:35,46.13 Hz
2026-02-05 13:29:46,24.92 Hz
2026-02-05 13:29:57,49.63 Hz
2026-02-05 13:30:09,266.19 Hz
2026-02-05 13:30:20,266.37 Hz
2026-02-05 13:30:31,249.83 Hz
2026-02-05 13:30:43,278.48 Hz
2026-02-05 13:30:54,251.73 Hz
2026-02-05 13:31:05,263.32 Hz
2026-02-05 13:31:16,259.49 Hz
2026-02-05 13:31:27,248.77 Hz
2026-02-05 13:31:38,270.45 Hz
2026-02-05 13:31:49,251.38 Hz
2026-02-05 13:32:00,271.69 Hz
2026-02-05 13:32:11,264.26 Hz
2026-02-05 13:32:22,270.51 Hz
2026-02-05 13:32:33,252.40 Hz
2026-02-05 13:32:44,267.26 Hz
2026-02-05 13:32:56,254.18 Hz
2026-02-05 13:33:07,255.51 Hz
2026-02-05 13:33:18,265.44 Hz
2026-02-05 13:33:30,272.94 Hz
2026-02-05 13:33:41,264.07 Hz
2026-02-05 13:33:53,259.45 Hz
2026-02-05 13:34:04,255.01 Hz
2026-02-05 13:34:15,266.20 Hz
2026-02-05 13:34:26,250.33 Hz
2026-02-05 13:34:37,249.31 Hz
2026-02-05 13:34:48,256.54 Hz
2026-02-05 13:34:59,244.19 Hz
2026-02-05 13:35:11,277.64 Hz
2026-02-05 13:35:22,255.03 Hz
2026-02-05 13:35:33,259.63 Hz
2026-02-05 13:35:44,114.52 Hz
2026-02-05 13:35:55,58.51 Hz
2026-02-05 13:36:06,51.56 Hz
2026-02-05 13:36:17,60.45 Hz
2026-02-05 13:36:28,55.62 Hz
2026-02-05 13:36:39,48.72 Hz
2026-02-05 13:36:51,56.24 Hz
2026-02-05 13:37:02,53.36 Hz
2026-02-05 13:37:13,63.68 Hz
2026-02-05 13:37:24,57.22 Hz
2026-02-05 13:37:36,59.19 Hz
2026-02-05 13:37:48,56.05 Hz
2026-02-05 13:37:59,66.09 Hz
2026-02-05 13:38:10,48.48 Hz
2026-02-05 13:38:21,49.95 Hz
2026-02-05 13:38:32,57.97 Hz
2026-02-05 13:38:43,55.43 Hz
2026-02-05 13:38:54,50.83 Hz
2026-02-05 13:39:06,59.60 Hz
2026-02-05 13:39:17,61.64 Hz
2026-02-05 13:39:28,59.62 Hz
2026-02-05 13:39:39,60.73 Hz
2026-02-05 13:39:50,30.72 Hz
2026-02-05 13:40:01,32.99 Hz
2026-02-05 13:40:12,32.38 Hz
2026-02-05 13:40:23,37.99 Hz
2026-02-05 13:40:35,37.88 Hz
2026-02-05 13:40:46,35.78 Hz
2026-02-05 13:40:58,37.66 Hz
2026-02-05 13:41:10,16.03 Hz
2026-02-05 13:41:21,135.96 Hz
2026-02-05 13:41:32,142.31 Hz
2026-02-05 13:41:43,145.61 Hz
2026-02-05 13:41:55,146.96 Hz
2026-02-05 13:42:06,142.72 Hz
2026-02-05 13:42:17,138.45 Hz
2026-02-05 13:42:29,143.25 Hz
2026-02-05 13:42:40,149.40 Hz
2026-02-05 13:42:51,140.14 Hz
2026-02-05 13:43:02,144.39 Hz
2026-02-05 13:43:14,151.51 Hz
2026-02-05 13:43:26,146.24 Hz
2026-02-05 13:43:38,139.61 Hz
2026-02-05 13:43:49,139.99 Hz
2026-02-05 13:44:01,139.57 Hz
2026-02-05 13:44:13,150.77 Hz
2026-02-05 13:44:24,150.74 Hz
2026-02-05 13:44:36,147.13 Hz
2026-02-05 13:44:48,151.70 Hz
2026-02-05 13:44:59,143.97 Hz
2026-02-05 13:45:10,155.11 Hz
2026-02-05 13:45:21,142.14 Hz
2026-02-05 13:45:32,147.53 Hz
2026-02-05 13:45:43,144.33 Hz
2026-02-05 13:45:54,154.90 Hz
2026-02-05 13:46:05,148.34 Hz
2026-02-05 13:46:16,138.60 Hz
2026-02-05 13:46:27,139.78 Hz
2026-02-05 13:46:38,139.33 Hz
2026-02-05 13:46:49,155.86 Hz
2026-02-05 13:47:00,145.94 Hz
2026-02-05 13:47:12,154.32 Hz
2026-02-05 13:47:23,16.88 Hz
2026-02-05 13:47:34,32.75 Hz
2026-02-05 13:47:45,34.04 Hz
2026-02-05 13:47:57,31.70 Hz
2026-02-05 13:48:09,30.37 Hz
2026-02-05 13:48:21,32.19 Hz
2026-02-05 13:48:32,33.86 Hz
2026-02-05 13:48:43,33.21 Hz
2026-02-05 13:48:54,36.01 Hz
2026-02-05 13:49:05,40.08 Hz
2026-02-05 13:49:16,33.18 Hz
2026-02-05 13:49:27,37.53 Hz
2026-02-05 13:49:39,38.04 Hz
2026-02-05 13:49:50,28.87 Hz
2026-02-05 13:50:01,26.30 Hz
2026-02-05 13:50:12,31.10 Hz
2026-02-05 13:50:23,31.30 Hz
2026-02-05 13:50:34,33.75 Hz
2026-02-05 13:50:46,42.86 Hz
2026-02-05 13:50:57,27.30 Hz
2026-02-05 13:51:08,32.71 Hz
2026-02-05 13:51:19,30.63 Hz
2026-02-05 13:51:30,36.55 Hz
2026-02-05 13:51:41,30.57 Hz
2026-02-05 13:51:52,29.30 Hz
2026-02-05 13:52:03,30.45 Hz
2026-02-05 13:52:15,32.00 Hz
2026-02-05 13:52:26,32.59 Hz
2026-02-05 13:52:38,27.93 Hz
2026-02-05 13:52:50,34.56 Hz
2026-02-05 13:53:02,30.82 Hz
2026-02-05 13:53:13,20.83 Hz
2026-02-05 13:53:25,1.73 Hz
2026-02-05 13:53:37,3.12 Hz
2026-02-05 13:53:48,5.09 Hz
2026-02-05 13:53:59,2.39 Hz
2026-02-05 13:54:11,3.93 Hz
2026-02-05 13:54:22,7.79 Hz
2026-02-05 13:54:34,3.93 Hz
2026-02-05 13:54:45,4.89 Hz
2026-02-05 13:54:56,2.70 Hz
2026-02-05 13:55:09,2.82 Hz
2026-02-05 13:55:20,4.19 Hz
2026-02-05 13:55:31,3.82 Hz
2026-02-05 13:55:43,3.77 Hz
2026-02-05 13:55:55,5.48 Hz
2026-02-05 13:56:06,5.30 Hz
2026-02-05 13:56:17,7.02 Hz
2026-02-05 13:56:28,2.34 Hz
2026-02-05 13:56:39,3.45 Hz
2026-02-05 13:56:50,2.84 Hz
2026-02-05 13:57:01,4.54 Hz
2026-02-05 13:57:12,5.24 Hz
2026-02-05 13:57:23,12.21 Hz
2026-02-05 13:57:35,2.85 Hz
2026-02-05 13:57:46,6.30 Hz
2026-02-05 13:57:57,4.85 Hz
2026-02-05 13:58:09,5.52 Hz
2026-02-05 13:58:22,7.75 Hz
2026-02-05 13:58:33,4.06 Hz
2026-02-05 13:58:44,6.74 Hz
2026-02-05 13:58:55,1.39 Hz
2026-02-05 13:59:06,2.42 Hz
2026-02-05 13:59:17,5.59 Hz
2026-02-05 13:59:29,5.20 Hz
