"time","value"
2026-02-05 13:59:40,2.61 Hz
2026-02-05 13:59:52,4.92 Hz
2026-02-05 14:00:03,7.60 Hz
2026-02-05 14:00:14,946.94 mHz
2026-02-05 14:00:25,8.34 Hz
2026-02-05 14:00:36,24.32 Hz
2026-02-05 14:00:47,150.32 Hz
2026-02-05 14:00:58,147.36 Hz
2026-02-05 14:01:10,148.27 Hz
2026-02-05 14:01:21,165.50 Hz
2026-02-05 14:01:32,156.01 Hz
2026-02-05 14:01:43,167.29 Hz
2026-02-05 14:01:54,163.94 Hz
2026-02-05 14:02:05,150.65 Hz
2026-02-05 14:02:16,151.27 Hz
2026-02-05 14:02:27,149.25 Hz
2026-02-05 14:02:39,153.60 Hz
2026-02-05 14:02:50,149.37 Hz
2026-02-05 14:03:01,147.17 Hz
2026-02-05 14:03:12,155.86 Hz
2026-02-05 14:03:24,144.35 Hz
2026-02-05 14:03:36,154.18 Hz
2026-02-05 14:03:47,151.64 Hz
2026-02-05 14:03:58,149.20 Hz
2026-02-05 14:04:10,151.97 Hz
2026-02-05 14:04:21,155.78 Hz
2026-02-05 14:04:32,152.78 Hz
2026-02-05 14:04:44,159.87 Hz
2026-02-05 14:04:55,155.32 Hz
2026-02-05 14:05:07,157.02 Hz
2026-02-05 14:05:19,155.42 Hz
2026-02-05 14:05:30,159.77 Hz
2026-02-05 14:05:41,149.75 Hz
2026-02-05 14:05:53,146.09 Hz
2026-02-05 14:06:04,135.07 Hz
2026-02-05 14:06:15,148.75 Hz
2026-02-05 14:06:26,145.68 Hz
2026-02-05 14:06:38,144.97 Hz
2026-02-05 14:06:49,15.04 Hz
2026-02-05 14:07:00,17.52 Hz
2026-02-05 14:07:12,23.12 Hz
2026-02-05 14:07:23,19.57 Hz
2026-02-05 14:07:34,15.98 Hz
2026-02-05 14:07:45,23.76 Hz
2026-02-05 14:07:56,18.84 Hz
2026-02-05 14:08:08,17.70 Hz
2026-02-05 14:08:20,29.74 Hz
2026-02-05 14:08:31,17.13 Hz
2026-02-05 14:08:42,44.16 Hz
2026-02-05 14:08:53,24.90 Hz
2026-02-05 14:09:04,19.85 Hz
2026-02-05 14:09:15,21.66 Hz
2026-02-05 14:09:26,20.83 Hz
2026-02-05 14:09:37,15.17 Hz
2026-02-05 14:09:48,19.84 Hz
2026-02-05 14:09:59,18.37 Hz
2026-02-05 14:10:10,18.95 Hz
2026-02-05 14:10:22,22.18 Hz
2026-02-05 14:10:33,17.83 Hz
2026-02-05 14:10:44,21.09 Hz
2026-02-05 14:10:55,21.28 Hz
2026-02-05 14:11:06,21.38 Hz
2026-02-05 14:11:17,20.46 Hz
2026-02-05 14:11:29,31.04 Hz
2026-02-05 14:11:40,16.48 Hz
2026-02-05 14:11:51,25.63 Hz
2026-02-05 14:12:02,24.71 Hz
2026-02-05 14:12:13,17.12 Hz
2026-02-05 14:12:24,25.05 Hz
2026-02-05 14:12:35,23.94 Hz
2026-02-05 14:12:46,21.04 Hz
2026-02-05 14:12:58,17.74 Hz
2026-02-05 14:13:09,29.81 Hz
2026-02-05 14:13:20,148.61 Hz
2026-02-05 14:13:31,150.36 Hz
2026-02-05 14:13:43,148.77 Hz
2026-02-05 14:13:54,160.86 Hz
2026-02-05 14:14:05,152.30 Hz
2026-02-05 14:14:16,152.53 Hz
2026-02-05 14:14:27,159.17 Hz
2026-02-05 14:14:38,155.30 Hz
2026-02-05 14:14:50,152.87 Hz
2026-02-05 14:15:01,150.24 Hz
2026-02-05 14:15:13,157.59 Hz
2026-02-05 14:15:25,156.21 Hz
2026-02-05 14:15:37,161.21 Hz
2026-02-05 14:15:48,151.52 Hz
2026-02-05 14:15:59,153.96 Hz
2026-02-05 14:16:11,155.17 Hz
2026-02-05 14:16:23,158.68 Hz
2026-02-05 14:16:34,151.58 Hz
2026-02-05 14:16:46,150.20 Hz
2026-02-05 14:16:57,161.94 Hz
2026-02-05 14:17:09,151.81 Hz
2026-02-05 14:17:20,153.22 Hz
2026-02-05 14:17:31,159.81 Hz
2026-02-05 14:17:42,156.23 Hz
2026-02-05 14:17:53,152.92 Hz
2026-02-05 14:18:04,163.88 Hz
2026-02-05 14:18:15,164.51 Hz
2026-02-05 14:18:26,148.57 Hz
2026-02-05 14:18:37,57.22 Hz
2026-02-05 14:18:48,24.16 Hz
2026-02-05 14:18:59,23.92 Hz
2026-02-05 14:19:10,18.76 Hz
2026-02-05 14:19:21,21.64 Hz
2026-02-05 14:19:32,17.60 Hz
2026-02-05 14:19:43,22.36 Hz
2026-02-05 14:19:55,16.27 Hz
2026-02-05 14:20:06,19.91 Hz
2026-02-05 14:20:17,21.40 Hz
2026-02-05 14:20:29,20.29 Hz
2026-02-05 14:20:40,20.35 Hz
2026-02-05 14:20:51,20.59 Hz
2026-02-05 14:21:02,19.70 Hz
2026-02-05 14:21:13,24.27 Hz
2026-02-05 14:21:25,25.62 Hz
2026-02-05 14:21:36,19.07 Hz
2026-02-05 14:21:47,26.12 Hz
2026-02-05 14:21:58,21.34 Hz
2026-02-05 14:22:09,19.92 Hz
2026-02-05 14:22:20,22.17 Hz
2026-02-05 14:22:31,17.92 Hz
2026-02-05 14:22:42,19.77 Hz
2026-02-05 14:22:53,26.36 Hz
2026-02-05 14:23:04,22.93 Hz
2026-02-05 14:23:15,21.62 Hz
2026-02-05 14:23:26,35.98 Hz
2026-02-05 14:23:37,48.70 Hz
2026-02-05 14:23:48,44.49 Hz
2026-02-05 14:23:59,39.82 Hz
2026-02-05 14:24:10,32.81 Hz
2026-02-05 14:24:21,41.71 Hz
2026-02-05 14:24:32,103.06 Hz
2026-02-05 14:24:43,307.40 Hz
2026-02-05 14:24:55,302.37 Hz
2026-02-05 14:25:06,349.35 Hz
2026-02-05 14:25:18,312.73 Hz
2026-02-05 14:25:29,314.29 Hz
2026-02-05 14:25:40,315.91 Hz
2026-02-05 14:25:51,336.73 Hz
2026-02-05 14:26:02,295.19 Hz
2026-02-05 14:26:13,301.36 Hz
2026-02-05 14:26:25,325.47 Hz
2026-02-05 14:26:36,311.44 Hz
2026-02-05 14:26:47,306.01 Hz
2026-02-05 14:26:59,319.60 Hz
2026-02-05 14:27:10,304.22 Hz
2026-02-05 14:27:21,308.30 Hz
2026-02-05 14:27:32,312.75 Hz
2026-02-05 14:27:43,318.89 Hz
2026-02-05 14:27:54,313.42 Hz
2026-02-05 14:28:06,315.57 Hz
2026-02-05 14:28:17,327.80 Hz
2026-02-05 14:28:28,313.89 Hz
2026-02-05 14:28:40,335.85 Hz
2026-02-05 14:28:51,320.12 Hz
2026-02-05 14:29:02,329.62 Hz
2026-02-05 14:29:13,326.95 Hz
2026-02-05 14:29:25,339.72 Hz
2026-02-05 14:29:36,306.99 Hz
2026-02-05 14:29:47,296.98 Hz
2026-02-05 14:29:59,301.09 Hz
2026-02-05 14:30:10,319.08 Hz
2026-02-05 14:30:21,313.08 Hz
2026-02-05 14:30:32,320.41 Hz
2026-02-05 14:30:43,285.53 Hz
2026-02-05 14:30:54,89.20 Hz
2026-02-05 14:31:06,34.02 Hz
2026-02-05 14:31:18,41.19 Hz
2026-02-05 14:31:30,42.95 Hz
2026-02-05 14:31:41,31.08 Hz
2026-02-05 14:31:52,39.96 Hz
2026-02-05 14:32:04,41.25 Hz
2026-02-05 14:32:15,37.07 Hz
2026-02-05 14:32:26,32.68 Hz
2026-02-05 14:32:37,33.41 Hz
2026-02-05 14:32:49,36.57 Hz
2026-02-05 14:33:00,47.16 Hz
2026-02-05 14:33:12,36.83 Hz
2026-02-05 14:33:24,43.97 Hz
2026-02-05 14:33:35,44.63 Hz
2026-02-05 14:33:46,44.57 Hz
2026-02-05 14:33:57,36.39 Hz
2026-02-05 14:34:08,31.86 Hz
2026-02-05 14:34:19,50.27 Hz
2026-02-05 14:34:30,33.26 Hz
2026-02-05 14:34:41,43.93 Hz
2026-02-05 14:34:52,39.25 Hz
2026-02-05 14:35:03,45.15 Hz
2026-02-05 14:35:14,35.75 Hz
2026-02-05 14:35:26,40.69 Hz
2026-02-05 14:35:37,43.46 Hz
2026-02-05 14:35:48,51.72 Hz
2026-02-05 14:35:59,44.59 Hz
2026-02-05 14:36:10,41.36 Hz
2026-02-05 14:36:21,51.12 Hz
2026-02-05 14:36:32,42.67 Hz
2026-02-05 14:36:44,46.06 Hz
2026-02-05 14:36:56,42.04 Hz
2026-02-05 14:37:07,43.67 Hz
2026-02-05 14:37:20,52.53 Hz
2026-02-05 14:37:31,41.79 Hz
2026-02-05 14:37:42,36.63 Hz
2026-02-05 14:37:53,51.20 Hz
2026-02-05 14:38:04,29.13 Hz
2026-02-05 14:38:16,38.82 Hz
2026-02-05 14:38:27,6.21 Hz
2026-02-05 14:38:38,209.10 Hz
2026-02-05 14:38:49,284.21 Hz
2026-02-05 14:39:00,292.42 Hz
2026-02-05 14:39:11,264.59 Hz
2026-02-05 14:39:22,263.68 Hz
2026-02-05 14:39:33,298.94 Hz
2026-02-05 14:39:44,272.87 Hz
2026-02-05 14:39:55,291.90 Hz
2026-02-05 14:40:06,280.86 Hz
2026-02-05 14:40:17,212.86 Hz
2026-02-05 14:40:29,8.25 Hz
2026-02-05 14:40:40,6.94 Hz
2026-02-05 14:40:51,58.41 Hz
2026-02-05 14:41:02,267.80 Hz
2026-02-05 14:41:14,280.68 Hz
2026-02-05 14:41:25,285.13 Hz
2026-02-05 14:41:36,284.10 Hz
2026-02-05 14:41:48,268.11 Hz
2026-02-05 14:41:59,261.07 Hz
2026-02-05 14:42:10,262.03 Hz
2026-02-05 14:42:21,281.03 Hz
2026-02-05 14:42:32,271.52 Hz
2026-02-05 14:42:43,268.99 Hz
2026-02-05 14:42:54,261.46 Hz
2026-02-05 14:43:05,282.59 Hz
2026-02-05 14:43:16,245.73 Hz
2026-02-05 14:43:27,272.58 Hz
2026-02-05 14:43:39,257.90 Hz
2026-02-05 14:43:50,280.49 Hz
2026-02-05 14:44:01,279.80 Hz
2026-02-05 14:44:12,273.91 Hz
2026-02-05 14:44:23,265.05 Hz
2026-02-05 14:44:34,279.64 Hz
2026-02-05 14:44:45,290.72 Hz
2026-02-05 14:44:56,250.19 Hz
2026-02-05 14:45:07,270.87 Hz
2026-02-05 14:45:18,271.25 Hz
2026-02-05 14:45:29,261.01 Hz
2026-02-05 14:45:41,247.14 Hz
2026-02-05 14:45:52,281.89 Hz
2026-02-05 14:46:03,80.25 Hz
2026-02-05 14:46:14,16.68 Hz
2026-02-05 14:46:25,13.45 Hz
2026-02-05 14:46:38,8.55 Hz
2026-02-05 14:46:49,12.55 Hz
2026-02-05 14:47:01,8.90 Hz
2026-02-05 14:47:12,21.88 Hz
2026-02-05 14:47:23,12.57 Hz
2026-02-05 14:47:34,15.85 Hz
2026-02-05 14:47:45,15.14 Hz
2026-02-05 14:47:56,9.87 Hz
2026-02-05 14:48:09,2.51 Hz
2026-02-05 14:48:20,11.09 Hz
2026-02-05 14:48:31,5.83 Hz
2026-02-05 14:48:42,2.75 Hz
2026-02-05 14:48:53,23.94 Hz
2026-02-05 14:49:07,4.96 Hz
2026-02-05 14:49:18,12.39 Hz
2026-02-05 14:49:29,17.40 Hz
2026-02-05 14:49:41,3.82 Hz
2026-02-05 14:49:52,3.49 Hz
2026-02-05 14:50:03,9.37 Hz
2026-02-05 14:50:14,10.02 Hz
2026-02-05 14:50:25,7.91 Hz
2026-02-05 14:50:37,7.59 Hz
2026-02-05 14:50:48,16.11 Hz
2026-02-05 14:50:59,9.04 Hz
2026-02-05 14:51:10,15.12 Hz
2026-02-05 14:51:22,4.87 Hz
2026-02-05 14:51:33,10.33 Hz
2026-02-05 14:51:44,6.06 Hz
2026-02-05 14:51:55,15.72 Hz
2026-02-05 14:52:06,9.30 Hz
2026-02-05 14:52:19,9.35 Hz
2026-02-05 14:52:31,17.07 Hz
2026-02-05 14:52:42,6.21 Hz
2026-02-05 14:52:53,7.98 Hz
2026-02-05 14:53:04,8.49 Hz
2026-02-05 14:53:15,5.82 Hz
2026-02-05 14:53:26,9.35 Hz
2026-02-05 14:53:37,10.44 Hz
2026-02-05 14:53:48,6.93 Hz
2026-02-05 14:54:00,6.48 Hz
2026-02-05 14:54:11,6.18 Hz
2026-02-05 14:54:22,13.07 Hz
2026-02-05 14:54:34,12.48 Hz
2026-02-05 14:54:45,9.89 Hz
2026-02-05 14:54:56,12.91 Hz
2026-02-05 14:55:08,13.78 Hz
2026-02-05 14:55:19,8.59 Hz
2026-02-05 14:55:30,9.52 Hz
2026-02-05 14:55:41,14.75 Hz
2026-02-05 14:55:52,11.20 Hz
2026-02-05 14:56:03,6.34 Hz
2026-02-05 14:56:14,10.81 Hz
2026-02-05 14:56:25,14.26 Hz
2026-02-05 14:56:36,7.47 Hz
2026-02-05 14:56:47,18.22 Hz
2026-02-05 14:56:58,18.85 Hz
2026-02-05 14:57:11,5.20 Hz
2026-02-05 14:57:22,10.45 Hz
2026-02-05 14:57:33,9.00 Hz
2026-02-05 14:57:44,6.58 Hz
2026-02-05 14:57:56,5.61 Hz
2026-02-05 14:58:07,3.39 Hz
2026-02-05 14:58:18,8.61 Hz
2026-02-05 14:58:29,4.22 Hz
2026-02-05 14:58:40,7.39 Hz
2026-02-05 14:58:52,100.30 Hz
2026-02-05 14:59:03,172.51 Hz
2026-02-05 14:59:15,181.94 Hz
2026-02-05 14:59:26,172.29 Hz
2026-02-05 14:59:37,175.82 Hz
2026-02-05 14:59:48,175.80 Hz
2026-02-05 14:59:59,172.49 Hz
2026-02-05 15:00:11,167.91 Hz
2026-02-05 15:00:22,160.98 Hz
2026-02-05 15:00:34,171.58 Hz
2026-02-05 15:00:45,167.80 Hz
2026-02-05 15:00:56,172.09 Hz
2026-02-05 15:01:07,171.71 Hz
2026-02-05 15:01:18,171.32 Hz
2026-02-05 15:01:30,172.03 Hz
2026-02-05 15:01:41,182.71 Hz
2026-02-05 15:01:52,173.97 Hz
2026-02-05 15:02:03,173.70 Hz
2026-02-05 15:02:15,172.16 Hz
2026-02-05 15:02:27,177.90 Hz
2026-02-05 15:02:38,175.65 Hz
2026-02-05 15:02:50,174.18 Hz
2026-02-05 15:03:01,167.20 Hz
2026-02-05 15:03:12,171.95 Hz
2026-02-05 15:03:23,171.52 Hz
2026-02-05 15:03:35,165.39 Hz
2026-02-05 15:03:46,171.81 Hz
2026-02-05 15:03:58,171.22 Hz
2026-02-05 15:04:09,164.75 Hz
2026-02-05 15:04:20,177.16 Hz
2026-02-05 15:04:31,171.32 Hz
2026-02-05 15:04:42,177.93 Hz
2026-02-05 15:04:53,174.99 Hz
2026-02-05 15:05:04,169.79 Hz
2026-02-05 15:05:15,174.36 Hz
2026-02-05 15:05:26,167.70 Hz
2026-02-05 15:05:37,183.58 Hz
2026-02-05 15:05:48,180.71 Hz
2026-02-05 15:05:59,162.65 Hz
2026-02-05 15:06:10,174.90 Hz
2026-02-05 15:06:21,169.41 Hz
2026-02-05 15:06:33,172.89 Hz
2026-02-05 15:06:44,177.68 Hz
2026-02-05 15:06:55,164.36 Hz
2026-02-05 15:07:06,174.40 Hz
2026-02-05 15:07:17,175.28 Hz
2026-02-05 15:07:28,165.42 Hz
2026-02-05 15:07:40,81.55 Hz
2026-02-05 15:07:51,22.03 Hz
2026-02-05 15:08:02,19.76 Hz
2026-02-05 15:08:14,23.16 Hz
2026-02-05 15:08:25,18.71 Hz
2026-02-05 15:08:36,22.55 Hz
2026-02-05 15:08:47,21.58 Hz
2026-02-05 15:08:58,20.15 Hz
2026-02-05 15:09:09,20.07 Hz
2026-02-05 15:09:20,22.78 Hz
2026-02-05 15:09:31,23.03 Hz
2026-02-05 15:09:42,21.29 Hz
2026-02-05 15:09:53,20.10 Hz
2026-02-05 15:10:05,20.00 Hz
2026-02-05 15:10:16,19.29 Hz
2026-02-05 15:10:27,19.36 Hz
2026-02-05 15:10:39,24.29 Hz
2026-02-05 15:10:51,21.29 Hz
2026-02-05 15:11:02,22.23 Hz
2026-02-05 15:11:13,17.34 Hz
2026-02-05 15:11:24,19.30 Hz
2026-02-05 15:11:36,21.50 Hz
2026-02-05 15:11:47,17.03 Hz
2026-02-05 15:11:59,17.42 Hz
2026-02-05 15:12:10,23.08 Hz
2026-02-05 15:12:21,21.33 Hz
2026-02-05 15:12:32,17.40 Hz
2026-02-05 15:12:44,17.54 Hz
2026-02-05 15:12:55,24.82 Hz
2026-02-05 15:13:07,18.35 Hz
2026-02-05 15:13:18,15.40 Hz
2026-02-05 15:13:29,19.31 Hz
2026-02-05 15:13:41,22.10 Hz
2026-02-05 15:13:52,23.54 Hz
2026-02-05 15:14:04,18.23 Hz
2026-02-05 15:14:16,31.37 Hz
2026-02-05 15:14:27,171.77 Hz
2026-02-05 15:14:38,169.63 Hz
2026-02-05 15:14:49,177.99 Hz
2026-02-05 15:15:00,170.36 Hz
2026-02-05 15:15:11,168.37 Hz
2026-02-05 15:15:22,180.64 Hz
2026-02-05 15:15:34,176.47 Hz
2026-02-05 15:15:45,159.77 Hz
2026-02-05 15:15:56,168.41 Hz
2026-02-05 15:16:07,167.21 Hz
2026-02-05 15:16:18,169.03 Hz
2026-02-05 15:16:29,173.95 Hz
2026-02-05 15:16:40,171.14 Hz
2026-02-05 15:16:51,172.06 Hz
2026-02-05 15:17:02,169.41 Hz
2026-02-05 15:17:13,163.58 Hz
2026-02-05 15:17:25,174.82 Hz
2026-02-05 15:17:36,173.12 Hz
2026-02-05 15:17:48,169.86 Hz
2026-02-05 15:18:00,171.93 Hz
2026-02-05 15:18:11,171.73 Hz
2026-02-05 15:18:22,169.65 Hz
2026-02-05 15:18:33,172.92 Hz
2026-02-05 15:18:44,172.86 Hz
2026-02-05 15:18:55,178.27 Hz
2026-02-05 15:19:06,167.07 Hz
2026-02-05 15:19:17,163.07 Hz
2026-02-05 15:19:28,164.42 Hz
2026-02-05 15:19:40,172.90 Hz
2026-02-05 15:19:52,174.58 Hz
2026-02-05 15:20:04,164.10 Hz
2026-02-05 15:20:15,11.16 Hz
2026-02-05 15:20:27,19.30 Hz
2026-02-05 15:20:38,13.82 Hz
2026-02-05 15:20:49,16.21 Hz
2026-02-05 15:21:00,12.10 Hz
2026-02-05 15:21:11,11.35 Hz
2026-02-05 15:21:22,12.09 Hz
2026-02-05 15:21:34,14.64 Hz
2026-02-05 15:21:46,12.70 Hz
2026-02-05 15:21:57,13.01 Hz
2026-02-05 15:22:08,9.41 Hz
2026-02-05 15:22:19,6.68 Hz
2026-02-05 15:22:30,17.01 Hz
2026-02-05 15:22:41,11.64 Hz
2026-02-05 15:22:53,14.97 Hz
2026-02-05 15:23:05,12.15 Hz
2026-02-05 15:23:16,10.31 Hz
2026-02-05 15:23:28,16.50 Hz
2026-02-05 15:23:39,13.27 Hz
2026-02-05 15:23:50,15.16 Hz
2026-02-05 15:24:02,16.65 Hz
2026-02-05 15:24:14,19.42 Hz
2026-02-05 15:24:26,17.64 Hz
2026-02-05 15:24:37,28.82 Hz
2026-02-05 15:24:48,21.35 Hz
2026-02-05 15:25:00,15.42 Hz
2026-02-05 15:25:11,23.75 Hz
2026-02-05 15:25:22,15.19 Hz
2026-02-05 15:25:33,18.52 Hz
2026-02-05 15:25:44,14.71 Hz
2026-02-05 15:25:55,15.87 Hz
2026-02-05 15:26:06,10.02 Hz
2026-02-05 15:26:17,14.01 Hz
2026-02-05 15:26:28,13.22 Hz
2026-02-05 15:26:39,10.85 Hz
2026-02-05 15:26:50,12.55 Hz
2026-02-05 15:27:01,10.02 Hz
2026-02-05 15:27:12,18.43 Hz
2026-02-05 15:27:23,12.24 Hz
2026-02-05 15:27:34,5.03 Hz
2026-02-05 15:27:45,123.25 Hz
2026-02-05 15:27:57,181.09 Hz
2026-02-05 15:28:08,174.48 Hz
2026-02-05 15:28:19,182.69 Hz
2026-02-05 15:28:30,171.43 Hz
2026-02-05 15:28:41,169.16 Hz
2026-02-05 15:28:52,179.42 Hz
2026-02-05 15:29:03,187.83 Hz
2026-02-05 15:29:15,173.05 Hz
2026-02-05 15:29:26,181.79 Hz
2026-02-05 15:29:38,181.51 Hz
2026-02-05 15:29:49,181.28 Hz
2026-02-05 15:30:00,180.51 Hz
2026-02-05 15:30:11,172.76 Hz
2026-02-05 15:30:22,185.03 Hz
2026-02-05 15:30:33,182.70 Hz
2026-02-05 15:30:44,174.42 Hz
2026-02-05 15:30:55,177.33 Hz
2026-02-05 15:31:06,178.00 Hz
2026-02-05 15:31:17,181.54 Hz
2026-02-05 15:31:28,177.64 Hz
2026-02-05 15:31:39,172.46 Hz
2026-02-05 15:31:50,178.88 Hz
2026-02-05 15:32:01,168.03 Hz
2026-02-05 15:32:12,178.36 Hz
2026-02-05 15:32:23,179.98 Hz
2026-02-05 15:32:34,174.92 Hz
2026-02-05 15:32:45,171.67 Hz
2026-02-05 15:32:56,173.26 Hz
2026-02-05 15:33:07,165.47 Hz
2026-02-05 15:33:18,173.20 Hz
2026-02-05 15:33:29,154.86 Hz
2026-02-05 15:33:40,86.25 Hz
2026-02-05 15:33:52,14.37 Hz
2026-02-05 15:34:03,22.10 Hz
2026-02-05 15:34:15,26.39 Hz
2026-02-05 15:34:26,22.33 Hz
2026-02-05 15:34:37,24.60 Hz
2026-02-05 15:34:48,27.22 Hz
2026-02-05 15:34:59,19.85 Hz
2026-02-05 15:35:10,17.66 Hz
2026-02-05 15:35:21,22.22 Hz
2026-02-05 15:35:32,19.62 Hz
2026-02-05 15:35:43,16.52 Hz
2026-02-05 15:35:54,18.63 Hz
2026-02-05 15:36:05,18.66 Hz
2026-02-05 15:36:17,18.71 Hz
2026-02-05 15:36:28,16.35 Hz
2026-02-05 15:36:39,14.64 Hz
2026-02-05 15:36:50,17.33 Hz
2026-02-05 15:37:01,13.41 Hz
2026-02-05 15:37:12,16.02 Hz
2026-02-05 15:37:23,14.44 Hz
2026-02-05 15:37:34,18.30 Hz
2026-02-05 15:37:45,14.62 Hz
2026-02-05 15:37:56,13.54 Hz
2026-02-05 15:38:08,5.56 Hz
2026-02-05 15:38:19,5.04 Hz
2026-02-05 15:38:30,4.48 Hz
2026-02-05 15:38:41,4.09 Hz
2026-02-05 15:38:52,7.93 Hz
2026-02-05 15:39:03,3.79 Hz
2026-02-05 15:39:15,6.55 Hz
2026-02-05 15:39:27,7.04 Hz
2026-02-05 15:39:38,4.16 Hz
2026-02-05 15:39:51,7.43 Hz
2026-02-05 15:40:02,6.98 Hz
2026-02-05 15:40:13,2.83 Hz
2026-02-05 15:40:24,4.10 Hz
2026-02-05 15:40:35,2.29 Hz
2026-02-05 15:40:46,5.82 Hz
2026-02-05 15:40:58,4.21 Hz
2026-02-05 15:41:10,4.66 Hz
2026-02-05 15:41:21,1.64 Hz
2026-02-05 15:41:32,1.74 Hz
2026-02-05 15:41:43,2.48 Hz
2026-02-05 15:41:54,2.91 Hz
2026-02-05 15:42:05,2.73 Hz
2026-02-05 15:42:16,4.97 Hz
2026-02-05 15:42:27,4.89 Hz
2026-02-05 15:42:39,2.35 Hz
2026-02-05 15:42:51,6.59 Hz
2026-02-05 15:43:02,3.21 Hz
2026-02-05 15:43:13,4.44 Hz
2026-02-05 15:43:25,6.11 Hz
2026-02-05 15:43:37,8.97 Hz
2026-02-05 15:43:49,4.27 Hz
2026-02-05 15:44:00,7.79 Hz
2026-02-05 15:44:11,4.59 Hz
2026-02-05 15:44:22,8.19 Hz
2026-02-05 15:44:34,3.79 Hz
2026-02-05 15:44:45,3.67 Hz
2026-02-05 15:44:56,2.82 Hz
2026-02-05 15:45:07,4.57 Hz
2026-02-05 15:45:18,14.84 Hz
2026-02-05 15:45:30,8.12 Hz
2026-02-05 15:45:41,12.44 Hz
2026-02-05 15:45:53,17.90 Hz
2026-02-05 15:46:04,9.29 Hz
2026-02-05 15:46:16,10.96 Hz
2026-02-05 15:46:27,5.85 Hz
2026-02-05 15:46:38,7.31 Hz
2026-02-05 15:46:49,17.79 Hz
2026-02-05 15:47:01,20.52 Hz
2026-02-05 15:47:14,15.52 Hz
2026-02-05 15:47:25,12.22 Hz
2026-02-05 15:47:38,8.03 Hz
2026-02-05 15:47:50,12.85 Hz
2026-02-05 15:48:01,9.51 Hz
2026-02-05 15:48:13,5.01 Hz
2026-02-05 15:48:24,10.31 Hz
2026-02-05 15:48:35,7.41 Hz
2026-02-05 15:48:46,12.91 Hz
2026-02-05 15:48:57,8.38 Hz
2026-02-05 15:49:08,18.27 Hz
2026-02-05 15:49:19,25.33 Hz
2026-02-05 15:49:30,25.36 Hz
2026-02-05 15:49:43,7.95 Hz
2026-02-05 15:49:56,16.57 Hz
2026-02-05 15:50:07,10.36 Hz
2026-02-05 15:50:18,29.78 Hz
2026-02-05 15:50:29,25.79 Hz
2026-02-05 15:50:41,16.03 Hz
2026-02-05 15:50:52,14.20 Hz
2026-02-05 15:51:03,13.46 Hz
2026-02-05 15:51:15,4.23 Hz
2026-02-05 15:51:28,12.45 Hz
2026-02-05 15:51:40,23.20 Hz
2026-02-05 15:51:51,13.48 Hz
2026-02-05 15:52:03,12.85 Hz
2026-02-05 15:52:14,5.03 Hz
2026-02-05 15:52:25,18.66 Hz
2026-02-05 15:52:36,6.32 Hz
2026-02-05 15:52:48,11.30 Hz
2026-02-05 15:53:00,8.80 Hz
2026-02-05 15:53:11,8.69 Hz
2026-02-05 15:53:22,7.28 Hz
2026-02-05 15:53:33,10.51 Hz
2026-02-05 15:53:45,8.93 Hz
2026-02-05 15:53:56,9.60 Hz
2026-02-05 15:54:07,3.86 Hz
2026-02-05 15:54:18,22.57 Hz
2026-02-05 15:54:29,19.96 Hz
2026-02-05 15:54:41,7.51 Hz
